SERVICE_ID,TITLE,NAME,RATING
156,"You can delete your content from this service. You agree not to submit libelous, harassing or threatening content. The posting of pornographic content is prohibited. There is a date of the last update of the agreements. Information is provided about how they collect personal data. Information is gathered about you through third parties. Your IP address is collected, which can be used to view your approximate location. Third-party cookies are used for statistics.  A list of all cookies set by the website is provided. You are tracked via web beacons, tracking pixels, browser fingerprinting, and/or device fingerprinting. Tracking pixels are used in service-to-user communication. The service claims to be GDPR compliant for European users. The service claims to be CCPA compliant for California users. The copyright license maintained by the service over your data and/or content is broader than necessary.. You cannot delete your account of this service",Gravatar,B
157,"You agree to defend, indemnify, and hold the service harmless in case of a claim related to your use of the service. Your personal data is not sold. You can request access, correction and/or deletion of your data. You can request access, correction and/or deletion of your data. You are not being tracked. Your personal data is not shared with third parties. User-generated content is encrypted, and this service cannot decrypt it. There is a date of the last update of the agreements. Archives of their agreements are provided so that changes can be viewed over time. Accessibility to this service is guaranteed at 99% or more. The court of law governing the terms is in location X. The court of law governing the terms is in a jurisdiction that is friendlier to user privacy protection.. The service is transparent regarding government requests or inquiries that may involve your data.. Information is provided about security practices. Alternative accounts are not allowed",Tutanota,A
158,"You agree to comply with the law of the service's country. The terms may be changed at any time, but you will receive notification of the changes. The terms may be changed at any time, but you will receive notification of the changes. You are tracked via web beacons, tracking pixels, browser fingerprinting, and/or device fingerprinting. Your personal data may be used for marketing purposes. Your data may be processed and stored anywhere in the world. Blocking first party cookies may limit your ability to use the service. Specific content can be deleted without reason and may be removed without prior notice. This service gives your personal data to third parties involved in its operation.  Terms may be changed any time at their discretion, without notice to you . The court of law governing the terms is in location X. You are solely responsible for claims made against the service and agree to indemnify and hold harmless the service.. A license is kept on user-generated content even after you close your account. The court of law governing the terms is in location X. They may stop providing the service at any time. The service provider makes no warranty regarding uninterrupted, timely, secure or error-free service. The service is provided 'as is' and to be used at your sole risk. Any liability on behalf of the service is only limited to the fees you paid as a user. There is a date of the last update of the agreements. Many different types of personal data are collected. You are forced into binding arbitration in case of disputes. Your account can be suspended for several reasons. Your personal data is used for advertising. This service tracks which web page referred you to it. This service may collect, use, and share location data. The court of law governing the terms is in a jurisdiction that is friendlier to user privacy protection.. You can opt out of targeted advertising. You maintain ownership of your content. The service has non-exclusive use of your content. Content you post may be edited by the service for any reason. They may stop providing the service at any time. Tracking pixels are used in service-to-user communication. Your personal data is not sold. Third parties used by the service are bound by confidentiality obligations. This service reserves the right to disclose your personal information without notifying you. Your personal data may be sold or otherwise transferred as part of a bankruptcy proceeding or other type of financial transaction. Information is provided about security practices. Voice data is collected and shared with third-parties.  The service is only available in some countries approved by its government. You are solely responsible for claims made against the service and agree to indemnify and hold harmless the service.. This service is only available to users over a certain age. You are informed about the risk of publishing personal info online. Spidering, crawling, or accessing the site through any automated means is not allowed. This service assumes no responsibility and liability for the contents of links to other websites. When the service wants to make a material change to its terms, you are notified at least 30 days in advance. You have the right to leave this service at any time. 30 days of notice are given before closing your account. You can request access, correction and/or deletion of your data. You can request access, correction and/or deletion of your data. The data retention period is kept to the minimum necessary for fulfilling its purposes. There is a date of the last update of the agreements. You agree not to use the service for illegal purposes. You agree not to use the service for illegal purposes. This service may collect, use, and share location data.  Terms may be changed any time at their discretion, without notice to you ",Apple Services,E
159,"This service takes credit for your content. Do Not Track (DNT) headers are ignored and you are tracked anyway even if you set this header.. Information is gathered about you through third parties. Your personal data may be sold or otherwise transferred as part of a bankruptcy proceeding or other type of financial transaction. The service has a no refund policy. Spidering, crawling, or accessing the site through any automated means is not allowed. The court of law governing the terms is in location X. There is a date of the last update of the agreements. Your personal data is not shared with third parties. Your IP address is collected, which can be used to view your approximate location. This service reserves the right to disclose your personal information without notifying you. Your data is processed and stored in a country that is less friendly to user privacy protection. You can request access, correction and/or deletion of your data. The service provider makes no warranty regarding uninterrupted, timely, secure or error-free service. There is a date of the last update of the agreements. There is a date of the last update of the agreements. Failure to enforce any provision of the Terms of Service does not constitute a waiver of such provision. Spidering, crawling, or accessing the site through any automated means is not allowed.  Terms may be changed any time at their discretion, without notice to you . The service is provided 'as is' and to be used at your sole risk. The service does not guarantee accuracy or reliability of the information provided",craigslist,B
160,"Many different types of personal data are collected. Many different types of personal data are collected. Many different types of personal data are collected. Many different types of personal data are collected. Many different types of personal data are collected. Your IP address is collected, which can be used to view your approximate location. Many different types of personal data are collected. Many different types of personal data are collected. Third-party cookies are used for statistics. Do Not Track (DNT) headers are ignored and you are tracked anyway even if you set this header.. This service is only available to users over a certain age. Your personal data is used for advertising. This service gives your personal data to third parties involved in its operation. This service reserves the right to disclose your personal information without notifying you.  You are being tracked via social media cookies/pixels. Invalidity of any portion of the Terms of Service does not entail invalidity of its remainder. There is a date of the last update of the agreements. You agree not to submit libelous, harassing or threatening content. The posting of pornographic content is prohibited. You are prohibited from sending chain letters, junk mail, spam or any unsolicited messages. The service claims to be GDPR compliant for European users. Failure to enforce any provision of the Terms of Service does not constitute a waiver of such provision. 30 days of notice are given before closing your account. You agree not to submit libelous, harassing or threatening content. The posting of pornographic content is prohibited. You agree to defend, indemnify, and hold the service harmless in case of a claim related to your use of the service. Invalidity of any portion of the Terms of Service does not entail invalidity of its remainder. You can request access, correction and/or deletion of your data. Many third parties are involved in operating the service. This service tracks you on other websites. You have the right to leave this service at any time",toodledo,B
161,"You should revisit the terms periodically, although in case of material changes, the service will notify. Only necessary logs are kept by the service to ensure quality. You cannot opt out of promotional communications. You are solely responsible for claims made against the service and agree to indemnify and hold harmless the service.. Third party cookies are employed, but with opt out instructions. Third parties are not allowed to access your personal information without a legal basis. You agree to defend, indemnify, and hold the service harmless in case of a claim related to your use of the service. There is a date of the last update of the agreements. The court of law governing the terms is in location X. Your IP address is collected, which can be used to view your approximate location. Third-party cookies are used for statistics. Third-party cookies are used for advertising. This service may collect, use, and share location data. Your profile is combined across various products. Information is provided about security practices. You should revisit the terms periodically, although in case of material changes, the service will notify. There is a date of the last update of the agreements. User suspension from the service will be fair and proportionate.. The service has a no refund policy. User suspension from the service will be fair and proportionate.. No guarantee is given regarding quality. You are solely responsible for claims made against the service and agree to indemnify and hold harmless the service..  Pseudonyms are allowed. IP addresses of website visitors are not tracked. Your personal data is aggregated into statistics. No guarantee is given regarding quality. If you offer suggestions to the service, they become the owner of the ideas that you give them",LastPass,B
163,Your personal data is used to employ targeted third-party advertising. Copyright license limited for the purposes of that same service but transferable and sublicenseable. You are solely responsible for claims made against the service and agree to indemnify and hold harmless the service.. Your account can be deleted without prior notice and without a reason. This service reserves the right to disclose your personal information without notifying you. The court of law governing the terms is in location X. The service is not transparent regarding government requests or inquiries that may involve your data. ,softpedia,B
164,"This service tracks which web page referred you to it. Your personal data is used for advertising. The service has non-exclusive use of your content. You agree to defend, indemnify, and hold the service harmless in case of a claim related to your use of the service. Your account can be suspended for several reasons. You are forced into binding arbitration in case of disputes.  Terms may be changed any time at their discretion, without notice to you . Other applicable rules, terms, conditions or guidelines. You are responsible for maintaining the security of your account and for the activities on your account. You are entitled to a refund if certain thresholds or standards are not met by the service. Instructions are provided on how to submit a copyright claim. User accounts can be terminated after having been in breach of the terms of service repeatedly. You agree not to submit libelous, harassing or threatening content. You are prohibited from posting content which promotes violence or politically or religiously extremist values.. This service holds onto content that you've deleted. 30 days of notice are given before closing your account. You have the right to leave this service at any time. Users who have been permanently banned from this service are not allowed to re-register under a new account. Defend, indemnify, hold harmless; survives termination. This service does not guarantee that it or the products obtained through it meet your expectations or requirements. This service assumes no liability for any losses or damages resulting from any matter relating to the service. Any liability on behalf of the service is only limited to the fees you paid as a user. The terms for this service are translated into different languages. Failure to enforce any provision of the Terms of Service does not constitute a waiver of such provision. Invalidity of any portion of the Terms of Service does not entail invalidity of its remainder. The court of law governing the terms is in location X. The copyright license that you grant this service is limited to the parties that make up the service's broader platform..  Terms may be changed any time at their discretion, without notice to you . You are responsible for maintaining the security of your account and for the activities on your account. Users who have been permanently banned from this service are not allowed to re-register under a new account. This service is only available to users over a certain age. If you offer suggestions to the service, they become the owner of the ideas that you give them. You waive your moral rights. You authorise the service to charge a credit card supplied on re-occurring basis. You are entitled to a refund if certain thresholds or standards are not met by the service. The service is provided 'as is' and to be used at your sole risk. You waive your moral rights. There is a date of the last update of the agreements. Information is gathered about you through third parties. You authorise the service to charge a credit card supplied on re-occurring basis. The posting of pornographic content is prohibited. The service is provided 'as is' and to be used at your sole risk. You waive your right to a class action.. This service is only available to users over a certain age. Your identity is used in ads that are shown to other users. The service provider makes no warranty regarding uninterrupted, timely, secure or error-free service. You agree to defend, indemnify, and hold the service harmless in case of a claim related to your use of the service. The court of law governing the terms is in location X. Information is provided about how your personal data is used. If you offer suggestions to the service, they may use that without your approval or compensation, but they do not become the owner. Your private content may be accessed by people working for the service. You can opt out of promotional communications",Vimeo,E
165,"No need to register. This service is only available for use individually and non-commercially.. You agree not to use the service for illegal purposes. Specific content can be deleted without reason and may be removed without prior notice. Instructions are provided on how to submit a copyright claim. This service does not guarantee that it or the products obtained through it meet your expectations or requirements. This service assumes no liability for any losses or damages resulting from any matter relating to the service. You are forced into binding arbitration in case of disputes. Your profile is combined across various products. This service holds onto content that you've deleted. Your personal data is used for advertising. Third-party cookies are used for advertising. You are tracked via web beacons, tracking pixels, browser fingerprinting, and/or device fingerprinting. Third-party cookies are used for statistics.  You are being tracked via social media cookies/pixels. There is a date of the last update of the agreements. The terms may be changed at any time, but you will receive notification of the changes. You must report to the service any unauthorized use of your account or any breach of security. The service has a no refund policy. There is a date of the last update of the agreements. Blocking first party cookies may limit your ability to use the service. Archives of their agreements are provided so that changes can be viewed over time. You are responsible for maintaining the security of your account and for the activities on your account. This service is only available to users over a certain age. The service is provided 'as is' and to be used at your sole risk. Failure to enforce any provision of the Terms of Service does not constitute a waiver of such provision.  Terms may be changed any time at their discretion, without notice to you . Your account can be deleted without prior notice and without a reason. Your content can be licensed to third parties. You agree not to submit illegal content. The service can intervene in user disputes. This service cannot be held responsible for disputes that you may have with other users. You are prohibited from sending chain letters, junk mail, spam or any unsolicited messages. The service informs you that its privacy policy does not apply to third party websites. You agree to defend, indemnify, and hold the service harmless in case of a claim related to your use of the service. You can opt out of promotional communications. If you offer suggestions to the service, they become the owner of the ideas that you give them",Goodreads,E
166,"There is a date of the last update of the agreements. Invalidity of any portion of the Terms of Service does not entail invalidity of its remainder.  Terms may be changed any time at their discretion, without notice to you .  Terms may be changed any time at their discretion, without notice to you ",Nabble,B
