Source.Name,sent,point_id,point_text,match_score,point_title,flag
match_147.csv,Terms of Use ,,,,,
match_147.csv,"The Instagram Service is one of the Facebook Products, provided to you by Facebook, Inc.",26455,"The Instagram Service is one of the Facebook Products, provided to you by Facebook, Inc.
These Terms of Use therefore constitute an agreement between you and Facebook, Inc.
        ",100,,
match_147.csv,"These Terms of Use therefore constitute an agreement between you and Facebook, Inc.",26455,"The Instagram Service is one of the Facebook Products, provided to you by Facebook, Inc.
These Terms of Use therefore constitute an agreement between you and Facebook, Inc.
        ",100,,
match_147.csv,"We can refuse to provide or stop providing all or part of the Service to you (including terminating or disabling your account) immediately to protect our community or services, or if you create risk or legal exposure for us, violate these Terms of Use or our policies (including our Instagram Community Guidelines), if you repeatedly infringe other people's intellectual property rights, or where we are permitted or required to do so by law.",12235,"We can refuse to provide or stop providing all or part of the Service to you (including terminating or disabling your account) immediately to protect our community or services, or if you create risk or legal exposure for us, violate these Terms of Use or our policies (including our Instagram Community Guidelines), if you repeatedly infringe other people's intellectual property rights, or where we are permitted or required to do so by law.
        
We can refuse to provide or stop providing all or part of the Service to you (including terminating or disabling your account) immediately to protect our community or services, or if you create risk or legal exposure for us, violate these Terms of Use or our policies (including our Instagram Community Guidelines), if you repeatedly infringe other people's intellectual property rights, or where we are permitted or required to do so by law.

        ","100,100",,
match_147.csv,"For any claim that is not arbitrated or resolved in small claims court, you agree that it will be resolved exclusively in the U.S. District Court for the Northern District of California or a state court located in San Mateo County.",12245,"For any claim that is not arbitrated or resolved in small claims court, you agree that it will be resolved exclusively in the U.S. District Court for the Northern District of California or a state court located in San Mateo County. You also agree to submit to the personal jurisdiction of either of these courts for the purpose of litigating any such claim.",100,,
match_147.csv,You also agree to submit to the personal jurisdiction of either of these courts for the purpose of litigating any such claim.,,,,,
match_147.csv,Class actions and class arbitrations are not permitted.,12244,"Except as provided below, you and we agree that any cause of action, legal claim, or dispute between you and us arising out of or related to these Terms or Instagram (""claim(s)"") must be resolved by arbitration on an individual basis. Class actions and class arbitrations are not permitted. you and we may bring a claim only on your own behalf and cannot seek relief that would affect other Instagram users.",100,,
match_147.csv,you and we may bring a claim only on your own behalf and cannot seek relief that would affect other Instagram users.,12244,"Except as provided below, you and we agree that any cause of action, legal claim, or dispute between you and us arising out of or related to these Terms or Instagram (""claim(s)"") must be resolved by arbitration on an individual basis. Class actions and class arbitrations are not permitted. you and we may bring a claim only on your own behalf and cannot seek relief that would affect other Instagram users.",100,,
match_147.csv,"We do not claim ownership of your content, but you grant us a license to use it.",12231,We do not claim ownership of your content,100,,
match_147.csv,We do not claim ownership of your content that you post on or through the Service.,12231,We do not claim ownership of your content,100,,
match_147.csv,You can't impersonate others or provide inaccurate information.,12225,"You can't impersonate others or provide inaccurate information.  You don't have to disclose your identity on Instagram, but you must provide us with accurate and up to date information (including registration information). Also, you may not impersonate someone you aren't, and you can't create an account for someone else unless you have their express permission.",100,,
match_147.csv,"You don't have to disclose your identity on Instagram, but you must provide us with accurate and up to date information (including registration information).",12225,"You can't impersonate others or provide inaccurate information.  You don't have to disclose your identity on Instagram, but you must provide us with accurate and up to date information (including registration information). Also, you may not impersonate someone you aren't, and you can't create an account for someone else unless you have their express permission.",100,,
match_147.csv,"Also, you may not impersonate someone you aren't, and you can't create an account for someone else unless you have their express permission.",12225,"You can't impersonate others or provide inaccurate information.  You don't have to disclose your identity on Instagram, but you must provide us with accurate and up to date information (including registration information). Also, you may not impersonate someone you aren't, and you can't create an account for someone else unless you have their express permission.",100,,
match_147.csv,"Permission to use your username, profile picture, and information about your relationships and actions with accounts, ads, and sponsored content.",,,,,
match_147.csv,"You give us permission to show your username, profile picture, and information about your actions (such as likes) or relationships (such as follows) next to or in connection with accounts, ads, offers, and other sponsored content that you follow or engage with that are displayed on Facebook Products, without any compensation to you.",11358,"Permission to use your username, profile picture, and information about your relationships and actions with accounts, ads, and sponsored content.  You give us permission to show your username, profile picture, and information about your actions (such as likes) or relationships (such as follows) next to or in connection with accounts, ads, offers, and other sponsored content that you follow or engage with that are displayed on Facebook Products, without any compensation to you. For example, we may show that you liked a sponsored post created by a brand that has paid us to display its ads on Instagram.",100,,
match_147.csv,"For example, we may show that you liked a sponsored post created by a brand that has paid us to display its ads on Instagram.",,,,,
match_147.csv,You can end this license anytime by deleting your content or account.,,,,,
match_147.csv,"However, content will continue to appear if you shared it with others and they have not deleted it.",,,,,
match_147.csv,"These terms will be updated effective December 20, 2020.",,,,,
match_147.csv,"To preview the new version prior to its effective date, click here.",,,,,
match_147.csv,"These Terms of Use govern your use of Instagram and provide information about the Instagram Service, outlined below.",,,,,
match_147.csv,"When you create an Instagram account or use Instagram, you agree to these terms.",,,,,
match_147.csv,"ARBITRATION NOTICE: YOU AGREE THAT DISPUTES BETWEEN YOU AND US WILL BE RESOLVED BY BINDING, INDIVIDUAL ARBITRATION AND YOU WAIVE YOUR RIGHT TO PARTICIPATE IN A CLASS ACTION LAWSUIT OR CLASS-WIDE ARBITRATION.",,,,,
match_147.csv,WE EXPLAIN SOME EXCEPTIONS AND HOW YOU CAN OPT OUT OF ARBITRATION BELOW.,631,"YOU AGREE THAT DISPUTES BETWEEN YOU AND US WILL BE RESOLVED BY BINDING, INDIVIDUAL ARBITRATION AND YOU WAIVE YOUR RIGHT TO PARTICIPATE IN A CLASS ACTION LAWSUIT OR CLASS-WIDE ARBITRATION.
WE EXPLAIN SOME EXCEPTIONS AND HOW YOU CAN OPT OUT OF ARBITRATION BELOW.",100,,
match_147.csv,The Instagram Service We agree to provide you with the Instagram Service.,,,,,
match_147.csv,"The Service includes all of the Instagram products, features, applications, services, technologies, and software that we provide to advance Instagram's mission: To bring you closer to the people and things you love.",,,,,
match_147.csv,"The Service is made up of the following aspects (the Service):   Offering personalized opportunities to create, connect, communicate, discover, and share.",,,,,
match_147.csv,We want to strengthen your relationships through shared experiences you actually care about.,,,,,
match_147.csv,"So we build systems that try to understand who and what you and others care about, and use that information to help you create, find, join, and share in experiences that matter to you.",,,,,
